date,close,high,low,open,volume
2018-09-17,20.6,20.6,20.6,20.6,7
2018-09-18,20.8,20.8,20.8,20.8,7
2018-10-03,22.9,23.26,22.9,23.26,10
2018-10-04,19.37,19.37,19.37,19.37,5
2018-10-09,18.77,18.77,18.77,18.77,1
2018-10-10,14.36,17.41,14.36,17.41,13
2018-10-11,8.1,10.43,7.36,10.43,439
2018-10-12,9.54,9.96,8.05,9.71,141
2018-10-15,8.29,9.21,8.29,9.2,262
2018-10-16,10.57,10.57,8.96,8.96,6
2018-10-17,11.67,11.67,11.67,11.67,1
2018-10-18,8.38,10.9,8.06,10.9,29
2018-10-19,8.21,10.16,8.18,10.01,94
2018-10-22,7.25,8.84,7.25,8.84,273
2018-10-23,6.2,6.95,3.7,5.06,3398
2018-10-24,2.5300000000000002,6.0,2.23,5.89,5510
